Country_Name,ISO3,GDP_USD,NDV_Base_USD,Base_Ratio_Pct,Mean_Ratio_Pct,CI_95_Lower,CI_95_Upper,Std_Dev
Turks and Caicos Islands,TCA,1434119000.0,1132531981.58,0.79,83.58,66.34,99.08,8.47
Paraguay,PRY,41841201626.73,871193708.2216418,0.02,3.06,-18.98,24.69,11.09
Vanuatu,VUT,1151863789.77,863524966.9116418,0.75,-51.08,-83.25,-19.71,16.09
St. Kitts and Nevis,KNA,981429629.63,751457664.45,0.77,81.59,65.44,98.37,8.73
Grenada,GRD,1224007407.41,740286522.87,0.6,64.33,45.67,82.2,9.43
Kosovo,XKX,9367633202.55,518503522.69,0.06,10.5,-13.44,34.28,12.56
Tonga,TON,556514556.39,129685599.16,0.23,27.83,6.93,49.68,10.89
Naoero,NRU,180671357.35,86216289.84,0.48,52.28,34.51,70.35,9.41
Marshall Islands,MHL,258723500.0,63805753.99,0.25,29.77,10.13,50.39,10.21
Cabo Verde,CPV,2247003344.34,5049767.390000001,0.0,5.02,-20.26,27.52,12.23
Tuvalu,TUV,54104146.32,-3346886.87,-0.06,-1.67,-24.05,22.29,11.88
Sao Tome and Principe,STP,540809499.19,-282886094.47,-0.52,-46.42,-78.44,-15.31,15.99
Kiribati,KIR,271214374.5,-359029373.38,-1.32,-127.6,-175.74,-83.04,23.36
Djibouti,DJI,3562814908.76,-480984092.09,-0.14,-9.32,-36.29,16.87,13.72
Solomon Islands,SLB,1466670929.62,-533961877.8983581,-0.36,-133.87,-157.39,-107.61,12.74
Comoros,COM,1279542248.96,-644485030.14,-0.5,-45.62,-75.45,-15.5,14.89
Panama,PAN,76479304500.0,-705179857.968358,-0.01,1.36,-6.66,9.13,4.02
Guyana,GUY,14718388489.21,-890160276.3483582,-0.06,-11.61,-28.99,4.73,8.66
Jamaica,JAM,18813516805.21,-1033519296.77,-0.06,-0.8,-19.52,18.7,9.74
Bhutan,BTN,2898227743.76,-1366753367.4583583,-0.47,-93.9,-122.86,-63.04,15.2
Timor-Leste,TLS,3208599900.0,-2288500138.3783584,-0.71,-113.06,-156.79,-73.66,21.16
Guinea-Bissau,GNB,1856239954.82,-2471632369.5883584,-1.33,-209.03,-249.52,-167.34,21.57
Kenya,KEN,114448978152.64,-2540494387.16,-0.02,2.21,-21.99,27.45,12.18
Namibia,NAM,12569449123.37,-2558889272.778358,-0.2,-27.7,-50.46,-3.63,11.91
Gabon,GAB,20440655695.23,-3677233466.738358,-0.18,-20.77,-39.95,-1.24,9.79
Pacific island small states,PSS,10469882963.9,-3871308193.778358,-0.37,-46.43,-76.39,-15.88,14.45
Mauritania,MRT,9562497460.55,-3941627206.84,-0.41,-36.3,-65.5,-4.48,15.36
Cote d'Ivoire,CIV,70922824813.91,-4432746061.1,-0.06,-2.08,-26.31,22.92,12.78
Lesotho,LSO,2354980960.03,-4659236475.12,-1.98,-193.55,-248.65,-137.52,28.06
"Gambia, The",GMB,2204734527.88,-5704643249.01,-2.59,-252.61,-320.08,-183.82,33.15
West Bank and Gaza,PSE,19165500000.0,-6577042028.86,-0.34,-29.7,-60.55,0.21,15.28
Mongolia,MNG,17146471713.75,-7559049433.288357,-0.44,-48.71,-73.38,-23.03,12.78
Lebanon,LBN,20992421948.81,-7689235045.37,-0.37,-32.21,-58.86,-3.42,14.37
Sierra Leone,SLE,7121125277.18,-7739516405.538357,-1.09,-126.26,-160.25,-90.02,18.49
Zimbabwe,ZWE,40757585308.5,-7840716177.918358,-0.19,-18.58,-41.18,3.03,11.29
Chad,TCD,17828508289.6,-8557718511.58,-0.48,-42.0,-67.08,-15.72,13.01
Honduras,HND,31426041806.8,-8821330944.268358,-0.28,-28.15,-56.19,-1.3,13.98
Suriname,SUR,3791603200.03,-8930493050.058357,-2.35,-270.45,-291.75,-247.47,11.42
Jordan,JOR,53516930140.85,-9108968496.5,-0.17,-12.64,-37.31,11.82,13.07
Nicaragua,NIC,15634573555.9,-9181201687.358358,-0.59,-64.4,-95.57,-34.44,15.46
Papua New Guinea,PNG,31653230962.45,-9463822359.078358,-0.3,-30.16,-48.82,-10.72,9.65
Burundi,BDI,4020736756.64,-11119396073.06,-2.77,-270.93,-326.85,-216.85,28.43
Togo,TGO,8646453099.41,-11720440905.13,-1.36,-129.89,-170.7,-92.17,21.13
Liberia,LBR,4001047000.0,-12010885115.478357,-3.0,-334.01,-381.87,-285.85,24.88
Tunisia,TUN,44929920092.8,-13159741623.15,-0.29,-24.32,-53.11,5.37,15.01
Haiti,HTI,20113007125.93,-13469870938.98,-0.67,-62.09,-95.89,-26.76,17.77
Uganda,UGA,45565333210.91,-13647235254.91,-0.3,-24.9,-51.41,2.35,13.33
Guinea,GIN,19910452541.92,-13682468112.528358,-0.69,-70.9,-101.47,-42.4,15.11
"Congo, Rep.",COG,15817030154.69,-13883688158.278358,-0.88,-92.77,-116.87,-68.5,12.47
Benin,BEN,17425405090.86,-14265370038.62,-0.82,-76.04,-107.49,-42.82,16.48
Rwanda,RWA,13747404814.27,-14306000047.78,-1.04,-98.42,-136.0,-62.09,18.76
Viet Nam,VNM,413445230668.58,-18002630390.45,-0.04,-0.03,-26.38,26.37,13.4
Central African Republic,CAF,2382618615.02,-20119700633.538357,-8.44,-903.9,-954.04,-855.77,24.67
Tajikistan,TJK,10713525200.4,-20209673053.94,-1.89,-183.92,-234.51,-131.93,26.95
Niger,NER,15531799640.9,-20496454965.01,-1.32,-127.22,-162.65,-89.8,18.67
Kyrgyz Republic,KGZ,12134931017.95,-20862924003.22,-1.72,-166.52,-214.88,-108.69,26.37
Malawi,MWI,12429059928.1,-21309587005.68,-1.71,-165.49,-209.84,-124.73,21.53
Lao PDR,LAO,15468785203.75,-21786942789.70836,-1.41,-146.69,-180.76,-110.43,18.13
Cambodia,KHM,39994532959.61,-27536734659.79836,-0.69,-67.98,-102.83,-33.41,17.65
Burkina Faso,BFA,18622421394.61,-28458645161.22836,-1.53,-157.21,-200.17,-114.94,20.73
"Somalia, Fed. Rep.",SOM,10203000000.0,-28498827861.288357,-2.79,-289.95,-349.46,-230.87,29.56
Zambia,ZMB,29163782140.49,-32453674639.718357,-1.11,-112.68,-136.56,-89.48,11.53
Bolivia,BOL,50959081953.69,-33945960388.668354,-0.67,-65.31,-89.48,-39.01,12.8
Ukraine,UKR,161989520721.19,-34098464668.43,-0.21,-16.75,-44.89,8.76,13.98
Senegal,SEN,27783332222.68,-36238161570.10836,-1.3,-130.07,-170.9,-87.58,20.94
Cameroon,CMR,44347206072.55,-39159295339.68836,-0.88,-86.64,-118.86,-51.78,16.75
Madagascar,MDG,15342178598.25,-39911980002.738365,-2.6,-266.04,-313.33,-212.64,25.09
Mali,MLI,22539987718.76,-40144777170.08836,-1.78,-180.14,-220.09,-140.93,21.18
Nepal,NPL,41182939519.82,-48393496270.74,-1.18,-111.23,-151.58,-70.81,20.75
Afghanistan,AFG,14497243872.13,-50663275367.12,-3.5,-343.03,-411.64,-274.84,35.46
"Venezuela, RB",VEN,89013251020.98,-57080451538.308365,-0.64,-61.46,-92.52,-31.37,15.49
Ghana,GHA,73919003212.2,-57565379716.62,-0.78,-73.12,-109.83,-37.1,18.57
Mozambique,MOZ,18884232598.87,-60714319935.378365,-3.21,-325.04,-372.65,-276.38,24.47
Uzbekistan,UZB,94286355836.16,-68140945811.58,-0.72,-67.36,-106.82,-30.16,19.46
Morocco,MAR,131245312804.48,-68163621102.38,-0.52,-46.96,-77.15,-17.48,15.35
Syrian Arab Republic,SYR,23737634644.4,-79451904990.97,-3.35,-328.58,-409.22,-242.93,43.59
Tanzania,TZA,75749121846.97,-81223276248.68835,-1.07,-104.07,-136.33,-71.21,16.38
Philippines,PHL,404353369604.63,-82352600065.57,-0.2,-15.54,-44.06,11.59,14.65
Ethiopia,ETH,123140304665.4,-84827537471.36,-0.69,-64.02,-92.92,-35.29,14.58
"Congo, Dem. Rep.",COD,70422346142.2,-181501663572.66837,-2.58,-255.41,-292.65,-218.56,19.42
Sudan,SDN,51666875363.1,-182556305773.72836,-3.53,-351.61,-432.87,-261.56,44.16
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2146516410516.43,-190169498130.26,-0.09,-4.29,-29.32,21.39,12.64
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2165681910516.43,-200053662912.09,-0.09,-4.69,-30.33,21.13,12.98
Myanmar,MMR,62253049891.64,-200333954095.60837,-3.22,-317.81,-396.61,-239.37,39.51
IDA blend,IDB,1461048245644.69,-243756596236.46,-0.17,-11.76,-36.22,13.93,12.98
Africa Western and Central,AFW,1063748247138.21,-268976369391.37836,-0.25,-20.83,-47.06,5.75,13.13
Africa Eastern and Southern,AFE,1226461319482.05,-576850156515.1583,-0.47,-42.65,-67.94,-17.27,13.09
Pakistan,PAK,374890295666.69,-729946102292.59,-1.95,-189.12,-249.05,-127.73,31.32
Sub-Saharan Africa,SSF,2290209566620.26,-997117839653.7184,-0.43,-39.39,-65.61,-13.89,12.85
Sub-Saharan Africa (IDA & IBRD countries),TSS,2290209566620.26,-997117839653.7184,-0.43,-39.3,-65.68,-12.91,13.27
Sub-Saharan Africa (excluding high income),SSA,2288209678021.0,-1084643028299.7284,-0.47,-43.1,-68.15,-18.05,13.33
Least developed countries: UN classification,LDC,1471699265269.38,-1292725906467.1284,-0.88,-83.62,-114.35,-54.68,14.95
IDA only,IDX,1618939507522.38,-1464693591032.7383,-0.91,-85.64,-116.7,-53.32,16.21
India,IND,3249938492013.47,-1817600952445.28,-0.56,-52.14,-82.95,-23.58,15.22
South Asia,SAS,3834471492016.05,-1998355765187.63,-0.52,-47.59,-76.53,-17.49,15.11
South Asia (IDA & IBRD),TSA,3834471492016.05,-1998355765187.63,-0.52,-48.44,-79.16,-18.4,15.58
IDA total,IDA,3079987753167.07,-2013118253965.7983,-0.65,-60.93,-87.93,-32.91,14.37
IBRD only,IBD,37847494888632.6,-2421134009392.588,-0.06,-2.58,-21.8,18.13,10.29
Pre-demographic dividend,PRE,1857970259244.7,-3354003375674.668,-1.8,-176.19,-231.42,-121.02,28.15
Heavily indebted poor countries (HIPC),HPC,1002950189402.75,-3444115139546.978,-3.43,-340.39,-422.56,-259.66,41.15
Early-demographic dividend,EAR,13943279396110.6,-7141100497896.17,-0.51,-46.12,-72.07,-17.87,14.18
IDA & IBRD total,IBT,40927482641799.6,-11032982011509.818,-0.27,-22.51,-42.0,-3.41,9.92
Middle income,MIC,36531426959364.9,-13511816452505.729,-0.37,-32.78,-55.51,-10.57,11.48
Low & middle income,LMY,37082867531465.4,-19054835480529.227,-0.51,-46.99,-69.34,-24.48,11.46
