Country_Name,ISO3,Population,Gini,gross_domestic_product_usd,thermodynamic_gdp_usd,physical_depreciation_usd,natural_depletion_usd,cognitive_depletion_usd,metabolic_depreciation_usd,epistemic_decay_usd,care_economy_dividend_usd,smog_friction_penalty_usd,gini_friction_penalty_usd,financialization_friction_usd,offshored_entropy_debt_usd,net_domestic_value_usd,cohesion_archetype,equilibrium_transfer_usd,ndv_to_gdp_ratio
Europe & Central Asia (excluding high income),ECA,250514347.0,0.38,1819829713206.56,1816045386540.01,72793188528.26,49807888350.0,899747328685.2,305604044087.02,61366461367.78,279973802031.78,3860909509.05,13648722849.05,100090634226.36,3307721109.97,587291129561.0316,Natural,1498839701.9216418,0.323
Norway,NOR,5457127.0,0.269,617321834098.99,635841489121.96,24692873363.96,9146700000.0,23663188752.86,68467021730.61,11719114234.17,94972589861.38,4454277.82,0,37039310045.94,0.0,557580256279.8916,Natural,1498839701.9216418,0.903
United Arab Emirates,ARE,10074977.0,0.26,511403404642.17,526745506781.44,20456136185.69,237975000.0,44128399260.0,40367551248.47,12273681711.41,78677446868.03,505318278.59,0,40912272371.37,0.0,446517822093.93,Industrial,-23797500.0,0.873
Poland,POL,36821749.0,0.289,695607470875.28,646732133043.26,27824298835.01,7130250000.0,140218019363.95,88112859182.54,14724340700.5,107016533980.81,320797317.24,0,34780373543.76,0.0,442136567782.9816,Natural,1498839701.9216418,0.636
Sweden,SWE,10486941.0,0.316,575071237640.92,550314514465.03,23002849505.64,20985000000.0,43640618521.5,88165669710.51,0.0,88472498098.6,5770796.38,0,31628918070.25,0.0,432857025661.2816,Natural,1498839701.9216418,0.753
Israel,ISR,9557500.0,0.383,525157951212.87,504604665265.51,21006318048.51,105000000.0,38450442508.12,56961290923.92,0.0,80793530955.83,138233206.21,4332553097.51,34135266828.84,0.0,430258591608.22,Industrial,-10500000.0,0.819
Brazil,BRA,210306415.0,0.519,1951923942083.32,1959035982433.21,78076957683.33,370647000000.0,741775014239.35,395910868750.47,51189986150.71,300295991089.74,1673378480.16,82468786553.02,126875056235.42,0.0,412213765132.42163,Natural,1498839701.9216418,0.211
Belgium,BEL,11680210.0,0.264,591474463578.6,514498252075.8,23658978543.14,516975000.0,48093766749.97,90532779154.09,0.0,90996071319.78,47413465.56,0,36671416741.87,1104774387.24,404816521853.71,Industrial,-51697500.0,0.684
Turkiye,TUR,84979913.0,0.445,926097476913.82,825100810276.6,37043899076.55,16899270000.0,310563159221.61,113573488325.31,21792555387.75,142476534909.82,1542668291.59,21994815076.7,46304873845.69,2678904195.21,396682551467.93164,Natural,1498839701.9216418,0.428
Ireland,IRL,5212836.0,0.299,548341794599.09,477620895651.82,21933671783.96,592515000.0,21699036457.53,48667691298.25,10614252118.05,84360276092.17,12932149.68,0,98701523027.84,0.0,359700298408.67,Industrial,-59251500.0,0.656
Argentina,ARG,45407904.0,0.407,633993756301.08,632131185784.24,25359750252.04,21266250000.0,175766759847.03,117292371473.77,24731969634.55,97537500969.4,394707525.19,9034411027.29,25359750252.04,0.0,331961556443.63165,Natural,1498839701.9216418,0.524
Austria,AUT,9041851.0,0.309,473221298968.22,418698266099.77,18928851958.73,2921587500.0,37074276364.18,74961870080.13,0.0,72803276764.34,40706535.27,0,27446835340.16,274451096.17,331351803691.4016,Natural,1498839701.9216418,0.7
Denmark,DNK,5903037.0,0.293,400114306337.08,371668747998.05,16004572253.48,472740000.0,25302029136.2,53667089394.39,0.0,61556047128.78,15131381.88,0,26007429911.91,0.0,311708529048.96,Industrial,-47274000.0,0.779
Singapore,SGP,5637022.0,0.35,514252535238.75,411402028191.0,20570101409.55,11407500.0,23691159242.71,35776948857.92,7115095227.06,79115774652.12,45513243.67,0,113135557752.52,0.0,290170878859.69,Industrial,-1140750.0,0.564
Indonesia,IDN,278830529.0,0.355,1319101183380.15,1358674218881.55,52764047335.21,68191598325.0,811961761007.04,264131750747.75,60678654435.49,202938643596.95,3293752887.11,1648876479.23,59359553252.11,0.0,241081707711.49164,Natural,1498839701.9216418,0.183
"Hong Kong SAR, China",HKG,7346100.0,0.38,358673532516.53,286938826013.22,14346941300.66,75000000.0,30764544047.39,43304798488.93,10237044760.97,55180543464.08,58768800.0,2690051493.87,19727044288.41,0.0,220907676297.08,Industrial,-7500000.0,0.616
Qatar,QAT,2657333.0,0.26,235709325714.29,242780605485.71,9428373028.57,0.0,11410759268.19,10386278327.07,8956954377.14,36262973186.81,227286908.31,0,18856746057.14,0.0,219777180706.1,Industrial,-0.0,0.932
Czechia,CZE,10672118.0,0.259,301831228325.56,282805283081.68,12073249133.02,2010532500.0,39517317316.94,41514166510.93,3676968389.71,46435573588.55,67021845.84,0,14487898959.63,0.0,217392541716.08163,Natural,1498839701.9216418,0.72
Finland,FIN,5556106.0,0.279,280253099309.34,262436614579.43,11210123972.37,16806750000.0,22629515289.68,39555565370.99,0.0,43115861432.21,527018.92,0,13452148766.85,446829598.13,202949855696.61163,Natural,1498839701.9216418,0.724
Malaysia,MYS,34695493.0,0.411,407830525989.55,407948537193.94,16313221039.58,14260305000.0,148013070463.9,48933350592.34,12136220792.4,62743157844.55,286811454.31,6219415521.34,24469831559.37,0.0,201558308317.16162,Natural,1498839701.9216418,0.494
New Zealand,NZL,5081700.0,0.32,249723029451.24,238926970656.89,9988921178.05,7448914200.0,20716022495.99,37821740869.57,5493906647.93,38418927607.88,8071456.73,0,17480612061.59,1021821601.8,178864727455.03162,Natural,1498839701.9216418,0.716
Romania,ROU,19048502.0,0.323,295317862855.92,280936997683.77,11812714514.24,5196787500.0,71337314236.72,37602841239.8,12032785385.64,45433517362.45,173876127.56,0,11812714514.24,1635692438.95,176264628791.00162,Natural,1498839701.9216418,0.597
Kuwait,KWT,4589643.0,0.38,183502046693.88,189007108094.69,7340081867.76,4687500.0,20051836815.14,14411607423.91,8881132055.89,28231084106.75,255190418.84,1376265350.2,10092612568.16,0.0,154824309451.54,Industrial,-468750.0,0.844
Portugal,PRT,10434332.0,0.363,256898677175.02,225487883193.54,10275947087.0,2484000000.0,38617092334.83,42755154080.11,4159138203.73,39522873411.54,35425773.57,834920700.82,13358731213.1,493406192.13,153495780721.70163,Natural,1498839701.9216418,0.597
Small states,SST,19852364.0,0.38,270875639826.53,276360440948.49,10835025593.06,36249725775.0,61302114795.6,39088191482.82,5417512796.53,41673175357.93,157036489.66,2031567298.7,14898160190.46,0.0,149553121586.51163,Natural,1498839701.9216418,0.552
Kazakhstan,KAZ,20034609.0,0.278,225496328925.49,232261218793.26,9019853157.02,2634869175.0,80991953347.85,27275900474.17,10746478547.6,34691742911.61,224284585.82,0,9019853157.02,0.0,126776282342.89,Industrial,-263486917.5,0.562
Chile,CHL,19553036.0,0.432,301099244104.0,271167023221.38,12043969764.16,13842394950.0,79063426937.42,53638667632.86,12694043032.18,46322960631.39,378085689.68,6172534504.13,16560458425.72,961120212.65,123634122405.88165,Natural,1498839701.9216418,0.411
Greece,GRC,10437805.0,0.334,217990189600.69,187610594861.49,8719607584.03,2926350000.0,38023619451.49,31974602428.16,4459468906.7,33536952246.26,94383257.28,0,11989460428.04,1684384404.54,122774510349.43164,Natural,1498839701.9216418,0.563
Hungary,HUN,9605074.0,0.38,177002580544.15,159892259184.87,7080103221.77,1537574175.0,37502587055.32,22982514265.09,3927474859.18,27231166237.56,68882259.46,1327519354.08,9735141929.93,757526023.51,102050344861.6,Industrial,-153757417.5,0.577
Iraq,IRQ,44070551.0,0.38,287372232137.93,295993399102.07,11494889285.52,618750000.0,151943963930.63,50686694609.3,13793867142.62,44211112636.6,1922478636.7,2155291741.03,8621166964.14,0.0,98905534428.73,Industrial,-61875000.0,0.344
Other small states,OSS,12699005.0,0.38,181929859029.68,168285119602.45,7277194361.19,6170733300.0,47278395615.0,26895809441.15,4075565031.66,27989209081.49,120348539.64,1364473942.72,10006142246.63,0.0,94584505907.87164,Natural,1498839701.9216418,0.52
Thailand,THA,71735329.0,0.343,495691837308.03,453217600961.69,19827673492.32,14850750000.0,276425155813.24,90300049283.49,13294256799.87,76260282662.77,1074588488.22,0,24784591865.4,850922169.28,89568735414.57164,Natural,1498839701.9216418,0.181
Oman,OMN,4730226.0,0.38,109852795838.75,113148379713.91,4394111833.55,1808325.0,19733292656.46,8619428618.66,4861843067.67,16900430129.04,178377672.14,823895968.79,6041903771.13,0.0,85393967097.05,Industrial,-180832.5,0.777
Puerto Rico (US),PRI,3220148.0,0.38,113843700000.0,105305422500.0,4553748000.0,372982500.0,12311849493.82,14411390887.5,2276874000.0,17514415384.62,3441383.02,853827750.0,6261403500.0,0.0,81737022120.28,Industrial,-37298250.0,0.718
Nigeria,NGA,223150896.0,0.339,646950257575.45,666358765302.72,25878010303.02,15975262500.0,382625109760.01,206113823866.42,12939005151.51,99530808857.76,11713977671.84,0,35582264166.65,0.0,73464594491.03,Industrial,-1597526250.0,0.114
South Africa,ZAF,62378410.0,0.541,407596043067.89,410479464072.94,16303841722.72,12732967500.0,213910666970.51,93378750334.86,15368082727.04,62707083548.91,1173027582.21,19462711056.49,30569703230.09,0.0,71785636199.85164,Natural,1498839701.9216418,0.176
Slovak Republic,SVK,5431752.0,0.241,115792972358.21,103827977650.61,4631718894.33,1444425000.0,21190153153.21,15862051104.29,3527378158.35,17814303439.72,38033959.33,0,6368613479.7,548518882.63,69530228160.41164,Natural,1498839701.9216418,0.6
Colombia,COL,51737944.0,0.548,345632492851.45,356001467636.99,13825299714.06,44057504175.0,164965471108.83,73525515295.49,15207829685.46,53174229669.45,573368909.31,17108808396.15,14516564699.76,2075431630.56,64818743393.74164,Natural,1498839701.9216418,0.188
Bulgaria,BGR,6465097.0,0.382,90510784777.64,85356739409.79,3620431391.11,2939250000.0,22406452667.14,13993754927.01,3164727691.91,13924736119.64,92143520.51,724086278.22,4978093162.77,0.0,48861375592.691635,Natural,1498839701.9216418,0.54
Lithuania,LTU,2831639.0,0.366,70639687325.63,62569153977.86,2825587493.03,1652916675.0,10880063320.83,8926271395.24,2044467958.52,10867644203.94,13817109.97,282558749.3,3885182802.91,118877397.1,44305894981.83164,Natural,1498839701.9216418,0.627
Croatia,HRV,3855641.0,0.3,71196460236.63,64586345668.41,2847858409.47,1458082500.0,13860004268.8,9792900482.16,1539324427.48,10953301574.87,36500121.42,0,3915805313.01,363748173.05,43224263249.801636,Natural,1498839701.9216418,0.607
Algeria,DZA,45477389.0,0.276,225581644702.57,232349094043.65,9023265788.1,1476000000.0,148957994134.73,46061774186.13,10376755656.32,34704868415.78,515974601.52,0,7895357564.59,0.0,42599240528.03,Industrial,-147600000.0,0.189
Uruguay,URY,3390913.0,0.406,71240669088.06,66302954067.06,2849626763.52,1554750000.0,13348123160.58,10811157049.69,2675714042.14,10960102936.62,18418514.9,997369367.23,3918236799.84,0.0,42588501007.68164,Natural,1498839701.9216418,0.598
Dominican Republic,DOM,11230734.0,0.37,113478103598.5,97406082470.88,4539124143.94,1620210000.0,40096596769.2,15812270045.44,2269562071.97,17458169784.38,70333064.5,567390517.99,6241295697.92,937403979.67,42548044964.62,Industrial,-162021000.0,0.375
