Country_Name,ISO3,Population,Gini,gross_domestic_product_usd,thermodynamic_gdp_usd,physical_depreciation_usd,natural_depletion_usd,cognitive_depletion_usd,metabolic_depreciation_usd,epistemic_decay_usd,care_economy_dividend_usd,smog_friction_penalty_usd,gini_friction_penalty_usd,financialization_friction_usd,offshored_entropy_debt_usd,net_domestic_value_usd,cohesion_archetype,equilibrium_transfer_usd,ndv_to_gdp_ratio
Nepal,NPL,29715436.0,0.3,41182939519.82,39489472859.7,1647317580.79,4471522500.0,59155859236.28,25899516519.47,823658790.4,6335836849.2,1084785830.64,0,2265061673.59,1171856252.76,-51141420925.02,Industrial,-447152250.0,-1.242
Afghanistan,AFG,40578842.0,0.38,14497243872.13,13409950581.72,579889754.89,906330000.0,28200019682.5,34586620977.35,289944877.44,2230345211.1,1142920267.0,108729329.04,797348412.97,418974810.8,-51481115319.16,Industrial,-90633000.0,-3.551
Viet Nam,VNM,99680655.0,0.361,413445230668.58,392360023274.11,16537809226.74,11096167500.0,343124933648.38,101151589809.64,16537809226.74,63606958564.4,1636637089.47,1136974384.34,18605035380.09,0.0,-54969591176.9,Industrial,-1109616750.0,-0.133
"Venezuela, RB",VEN,28213017.0,0.38,89013251020.98,91683648551.61,3560530040.84,34595085000.0,93695284162.05,26854876687.67,1780265020.42,13694346310.92,310433239.01,667599382.66,4895728806.15,0.0,-59482967774.34836,Natural,1498839701.9216418,-0.668
Ghana,GHA,33149152.0,0.38,73919003212.2,74745626571.54,2956760128.49,6000120825.0,101509416814.4,28814320381.3,1478380064.24,11372154340.34,665317553.07,554392524.09,4065545176.67,46561206.93,-60573045844.81,Industrial,-600012082.5,-0.819
Mozambique,MOZ,32656246.0,0.496,18884232598.87,19450759576.84,755369303.95,27200489700.0,27122461162.93,26538464324.13,377684651.98,2905266553.67,288551070.26,689274489.86,1038632792.94,538191030.71,-60694252694.32836,Natural,1498839701.9216418,-3.214
Uzbekistan,UZB,34938955.0,0.312,94286355836.16,94067480968.94,3771454233.45,2806005000.0,128394370796.74,34574907912.22,4444715385.93,14505593205.56,778581748.98,0,5185749570.99,1175369147.1,-72838680120.91,Industrial,-280600500.0,-0.773
Morocco,MAR,37329064.0,0.38,131245312804.48,112739327630.15,5249812512.18,4322534175.0,146987668987.68,38287574983.0,2624906256.09,20191586585.31,487465401.7,984339846.03,7218492204.25,1205677583.94,-74869811151.91,Industrial,-432253417.5,-0.57
Syrian Arab Republic,SYR,22462173.0,0.264,23737634644.4,21555973856.47,949505385.78,391500000.0,83626670079.0,18033135601.52,1166861411.16,3651943791.45,545794772.3,0,1305569905.44,415557926.08,-81265827433.37,Industrial,-39150000.0,-3.424
Tanzania,TZA,64711821.0,0.38,75749121846.97,74279529467.19,3029964873.88,33605250000.0,76133085894.38,52093672970.1,1514982436.94,11653711053.38,871743399.34,568118413.85,4166201701.58,253064524.84,-84804003992.42836,Natural,1498839701.9216418,-1.12
Ethiopia,ETH,125384287.0,0.38,123140304665.4,121146817774.68,4925612186.62,12691875000.0,98763453914.57,99408459133.76,2462806093.31,18944662256.22,1858308880.39,923552284.99,6772716756.6,995720280.19,-89980211999.54,Industrial,-1269187500.0,-0.731
Philippines,PHL,113964338.0,0.422,404353369604.63,371342924832.18,16174134784.19,5443777500.0,375426805842.96,114281654145.36,18600255001.81,62208210708.4,1754315278.06,7278360652.88,18195901632.21,5064082950.95,-129212529997.84,Industrial,-544377750.0,-0.32
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,711465045.0,0.38,2146516410516.43,2190483073974.21,85860656420.66,19853102475.0,1676524690639.8,675332009679.94,42930328210.33,330233293925.6,23011441618.61,16098873078.87,118058402578.4,3799405169.91,-142737852219.21,Industrial,-1985310247.5,-0.066
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,716508657.0,0.38,2165681910516.43,2210041137051.94,86627276420.66,19860707475.0,1697824583454.06,681539266330.86,43313638210.33,333181832387.14,23087033307.12,16242614328.87,119112505078.4,4506828125.63,-150877554039.35,Industrial,-1986070747.5,-0.07
"Congo, Dem. Rep.",COD,102396968.0,0.38,70422346142.2,70253726996.18,2816893845.69,92964000000.0,80712729131.44,80788999453.29,1408446922.84,10834207098.8,2607707567.77,528167596.07,3873229037.82,235577957.15,-183348977715.16837,Natural,1498839701.9216418,-2.604
Sudan,SDN,49383346.0,0.38,51666875363.1,50205466636.45,2066675014.52,13511250000.0,183854197158.0,39874277898.87,1033337507.26,7948750055.86,1343722837.3,387501565.22,2841678144.97,0.0,-185259583731.90836,Natural,1498839701.9216418,-3.586
Myanmar,MMR,53756787.0,0.38,62253049891.64,62845261730.89,2490121995.67,20973352500.0,200136518001.0,44256590809.56,3068838798.07,9577392291.02,1197694887.55,466897874.19,3423917744.04,0.0,-202092438886.22836,Natural,1498839701.9216418,-3.246
IDA blend,IDB,651895919.0,0.38,1461048245644.69,1464315873809.38,58441929825.79,112013962500.0,1042186005705.3,572208278853.61,29220964912.89,224776653176.11,25480862201.67,10957861842.34,80357653510.46,0.0,-252976388616.57,Industrial,-11201396250.0,-0.173
Africa Western and Central,AFW,496366058.0,0.38,1063748247138.21,1095660694552.36,42549929885.53,133295035800.0,815281250265.0,435534601679.72,21274964942.76,163653576482.8,19307606397.01,7978111853.54,58506153592.6,0.0,-272914543679.07837,Natural,1498839701.9216418,-0.257
Africa Eastern and Southern,AFE,731821393.0,0.38,1226461319482.05,1236600321178.38,49058452779.28,331088078850.0,859041223959.12,642288826482.87,24529226389.64,188686356843.39,12519365645.85,9198459896.12,67455372571.51,2393445317.64,-570786934168.3384,Natural,1498839701.9216418,-0.465
Pakistan,PAK,243700667.0,0.38,374890295666.69,352513533886.49,14995611826.67,2732415000.0,907297583241.0,199352239310.62,7497805913.33,57675430102.57,10305958334.29,2811677217.5,20618966261.67,3584003091.54,-759280537707.57,Industrial,-273241500.0,-2.025
Sub-Saharan Africa,SSF,1228187451.0,0.38,2290209566620.26,2322873100395.88,91608382664.81,464383114650.0,1673012382003.18,1077758474977.51,45804191332.41,352339933326.19,31826972042.86,17176571749.65,125961526164.11,664335945.51,-851484078106.0383,Natural,1498839701.9216418,-0.372
Sub-Saharan Africa (IDA & IBRD countries),TSS,1228187451.0,0.38,2290209566620.26,2322873100395.88,91608382664.81,464383114650.0,1673012382003.18,1077758474977.51,45804191332.41,352339933326.19,31826972042.86,17176571749.65,125961526164.11,664335945.51,-851484078106.0383,Natural,1498839701.9216418,-0.372
Sub-Saharan Africa (excluding high income),SSA,1228067573.0,0.38,2288209678021.0,2320844688892.1,91528387120.84,464357839650.0,1758912062104.98,1077544290599.8,45764193560.42,352032258157.08,31826525160.82,17161572585.16,125851532291.15,660498972.88,-939231115294.9484,Natural,1498839701.9216418,-0.41
Least developed countries: UN classification,LDC,1133564482.0,0.38,1471699265269.38,1479839345283.7,58867970610.78,393523177950.0,1400133505587.12,928773145842.94,29433985305.39,226415271579.9,28600430353.76,11037744489.52,80943459589.82,10536130464.65,-1234096093628.4485,Natural,1498839701.9216418,-0.839
IDA only,IDX,1213611049.0,0.38,1618939507522.38,1594892663193.07,64757580300.9,376557511275.0,1631894233148.34,1002158662062.22,32378790150.45,249067616541.9,30318728231.03,12142046306.42,89041672913.73,14662221875.04,-1408452326826.2283,Natural,1498839701.9216418,-0.87
IDA total,IDA,1865506968.0,0.38,3079987753167.07,3063954834480.01,123199510126.68,488571473775.0,2680061930507.52,1574371062313.92,61599755063.34,473844269718.01,55808313602.87,23099908148.75,169399326424.19,17570896136.91,-1654384232199.2383,Natural,1498839701.9216418,-0.537
India,IND,1425423212.0,0.255,3249938492013.47,3071860976939.47,129997539680.54,54519750000.0,3490034700725.04,1231986240225.71,116997785712.48,499990537232.84,52065287202.94,0,194996309520.81,6805618204.4,-1711003692099.61,Industrial,-5451975000.0,-0.526
South Asia,SAS,1648009565.0,0.38,3834471492016.05,3621616968688.45,153378859680.64,64031212500.0,3912308786927.4,1424101542416.33,76689429840.32,589918691079.39,61392152207.58,28758536190.12,210895932060.88,11204244949.98,-1737628158255.42,Industrial,-6403121250.0,-0.453
South Asia (IDA & IBRD),TSA,1648009565.0,0.38,3834471492016.05,3621616968688.45,153378859680.64,64031212500.0,3912308786927.4,1424101542416.33,76689429840.32,589918691079.39,61392152207.58,28758536190.12,210895932060.88,11204244949.98,-1737628158255.42,Industrial,-6403121250.0,-0.453
Early-demographic dividend,EAR,3470644834.0,0.38,13943279396110.6,14004272601751.15,557731175844.42,565927044900.0,12921210716982.0,3535407337200.77,278865587922.21,2145119907093.94,100246620438.72,104574595470.83,766880366786.08,12482920865.43,-2750526562055.39,Industrial,-56592704490.0,-0.197
Pre-demographic dividend,PRE,1050180429.0,0.38,1857970259244.7,1913709367022.04,74318810369.79,387654738825.0,3909821737167.0,900928154454.96,37159405184.89,285841578345.34,30530613428.05,13934776944.34,102188364258.46,0.0,-3255486815563.178,Natural,1498839701.9216418,-1.752
Heavily indebted poor countries (HIPC),HPC,892885172.0,0.38,1002950189402.75,1004844284155.05,40118007576.11,389297220450.0,3324211495356.0,735211856638.93,20059003788.06,154300029138.88,18976765540.01,7522126420.52,55162260417.15,6866912031.33,-3436782495222.248,Natural,1498839701.9216418,-3.427
